,Project Name,Procuring Entity,OCID,Project Cost,Contractor,Class,Asset Range,No of Employee,Year,Status,Remark,Award Date,Publication Date,Project Location
,Event management at the 9th Lagos State International Climate Change Summit,OFFICE OF ENVIRONMENTAL SERVICES,ocds-5q8fsw-10202270786601,"56,852,550.00",WISEWORTH CONCEPTS,Private Organization,"25,000,001 to 50,000,000",20,2022,COMPLETED,,"Tuesday, August 9, 2022","Monday, October 31, 2022","LAGOS, IKEJA"
,Procurement of Office Equipment for the Secretariat Activities of Environmental Monitoring Volunteers,OFFICE OF ENVIRONMENTAL SERVICES,ocds-5q8fsw-10202282160321,"1,592,000.00",DI TRADING POST VENTURES,Private Organization,,0,2022,COMPLETED,,"Monday, August 1, 2022","Monday, October 31, 2022","LAGOS, IKEJA"
,"Procurement of Stationery items, Account Books and other consumable items",OFFICE OF ENVIRONMENTAL SERVICES,ocds-5q8fsw-10202220328467,"1,590,400.00",DI TRADING POST VENTURES,Private Organization,,0,2022,COMPLETED,,"Monday, August 1, 2022","Monday, October 31, 2022","LAGOS, IKEJA"
,"Procurement of Uniforms, Protective wears and other logistics for the special Sanitation Squad",OFFICE OF ENVIRONMENTAL SERVICES,ocds-5q8fsw-10202217466785,"12,128,000.00",ENVISH SOLUTIONS,Private Organization,"50,000,001 to 100,000,000",22,2022,COMPLETED,,"Tuesday, August 9, 2022","Monday, October 31, 2022","LAGOS, IKEJA"
,Procurement of Field Sampling Equipment and Reagents for Physio-Chemical and Biological determination,OFFICE OF ENVIRONMENTAL SERVICES,ocds-5q8fsw-10202253351074,"5,757,500.00",HORTON TIMS VENTURES,Private Organization,,0,2022,ONGOING,,"Wednesday, May 18, 2022","Monday, October 31, 2022","LAGOS, IKEJA"
,Procurement of Aeroqual Series 500 and Associated sensors for collection of Air Quality data,OFFICE OF ENVIRONMENTAL SERVICES,ocds-5q8fsw-10202200466772,"9,310,000.00",HORTON TIMS VENTURES,Private Organization,,0,2022,ONGOING,,"Wednesday, May 18, 2022","Monday, October 31, 2022","LAGOS, IKEJA"
,Procurement of Cleaning Materials for Administrative Department,OFFICE OF ENVIRONMENTAL SERVICES,ocds-5q8fsw-10202248351568,"1,996,500.00",CONSTELLATION GLOBAL VENTURES,Private Organization,,0,2022,COMPLETED,,"Wednesday, August 3, 2022","Monday, October 31, 2022",LAGOS
,Public Service Ideas Day,"OFFICE OF TRANSFORMATION, CREATIVITY AND INNOVATION",ocds-5q8fsw-10202280053808,"2,378,000.00",JAY N EFF EVENT PLANNERS,Private Organization,,0,2022,COMPLETED,,"Thursday, April 14, 2022","Tuesday, October 25, 2022","IKEJA, LAGOS"
,"Procurement of Equipment, Kits, Fittings, Fixtures, Furniture and Installation of Digital Stem Laboratory",MINISTRY OF EDUCATION,ocds-5q8fsw-10202201684734,"60,067,452.54",KATCHEY COMPANY LIMITED,Private Organization,"50,000,001 to 100,000,000",35,2022,NEWLY AWARDED,,"Tuesday, June 28, 2022","Monday, October 24, 2022","IKEJA, LAGOS"
,"Renovation of roof, painting of offices and replacement of the old iron window of the Ministry.",MINISTRY OF EDUCATION,ocds-5q8fsw-10202220823076,"29,035,323.37",DE FLOURISHING GREENPALMS NIGERIA LIMITED,Private Organization,,0,2022,NEWLY AWARDED,,"Tuesday, June 21, 2022","Monday, October 24, 2022","IKEJA, LAGOS"
,"Completion of Construction of LMDGP Building at Community Secondary School, Itire",MINISTRY OF EDUCATION,ocds-5q8fsw-10202254036446,"360,939,446.31",MDD PROJECTS LIMITED,Private Organization,,0,2022,NEWLY AWARDED,,"Friday, May 20, 2022","Friday, October 21, 2022","ITIRE, LAGOS"
,Procurement of Science Materials for State Senior Secondary Schools for Year 2022 West African Secondary School Certificate (WASSC) for School Candidates Practical Examinations,MINISTRY OF EDUCATION,ocds-5q8fsw-10202256626630,"75,485,100.00",MCDONALD SCIENTIFIC EMPORIUM,Private Organization,,0,2022,NEWLY AWARDED,,"Monday, April 25, 2022","Friday, October 21, 2022","IKEJA, LAGOS"
,Construction of Drain at Isheri North Residential Scheme,OFFICE OF DRAINAGE SERVICES WATER  RESOURCES,ocds-5q8fsw-6202227527413,"82,162,781.28",F. O ENGINNERING LIMITED,Private Organization,"25,000,001 to 50,000,000",35,2022,ONGOING,,"Tuesday, June 28, 2022","Thursday, June 30, 2022","ISHERI, LAGOS"
,"Construction of a Block of 18 Classroom Admin Block on Pad Foundation at State Comprehensive Junior College, Alimosho (Education District I)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202261436234,"290,496,822.78",INVESTRITE LIMITED,Private Organization,"250,000,001 and above",36,2021,ONGOING,,"Tuesday, November 2, 2021","Thursday, June 30, 2022",ALIMOSHO
,"Emergency Renovation of (i) New Raft Fence (ii) Rehabilitation of Existing Fence at Salvation Army Primary School, Sabo, Ikorodu (Education District II)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202207437525,"17,222,975.33",DASILVABELL NIGERIA LIMITED,Private Organization,"25,000,001 to 50,000,000",35,2021,ONGOING,,"Wednesday, October 20, 2021","Thursday, June 30, 2022",IKORODU
,"EMERGENCY RENOVATION OF 18 CUBICLE TOILET AT OLUWA MEMORIAL JUNIOR HIGH SCHOOL, AJEGUNLE (Education District V)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202242366585,"16,909,708.61",DE-DJONG CONCEPT LIMITED,Private Organization,"25,000,001 to 50,000,000",32,2021,ONGOING,,"Wednesday, October 20, 2021","Thursday, June 30, 2022",AJEGUNLE
,"construction of a block of 18 classroom admin block on raft foundation at agboju senior secondary school, agboju ojo (Education District V)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202204711017,"300,709,940.46",CALMAR LIMITED,Private Organization,"250,000,001 and above",43,2021,ONGOING,,"Friday, October 8, 2021","Thursday, June 30, 2022","Agboju, Ojo"
,"Emergency CONSTRUCTION OF 8 CUBICLE TOILET AT LOCAL AUTHORITY IBEREKO, BADAGRY (Education District V)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202287303270,"12,105,486.99",F. O ENGINNERING LIMITED,Private Organization,"25,000,001 to 50,000,000",35,2021,ONGOING,,"Wednesday, October 20, 2021","Thursday, June 30, 2022",BADAGRY
,"Construction of Gatehouse on raft foundation , construction of perimeter fence on Inverted T Ground Beam (Education District II)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202228085400,"96,788,180.71",VICODAL NIGERIA VENTURES LIMITED,Private Organization,"200,000,001 to 250,000,000",43,2021,ONGOING,,"Friday, July 30, 2021","Thursday, June 30, 2022",LAGOS STATE
,"Renovation of 17 1 Classroom Block at Low Cost Housing Estate Primary 1 2, Ejigbo. (Education District Vi)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202266542677,"21,223,923.88",KRANES PROJECTS,Private Organization,"200,000,001 to 250,000,000",43,2021,ONGOING,,"Monday, August 23, 2021","Thursday, June 30, 2022",EJIGBO
,"Construction of Gate House and Perimeter Fence (450m Long) at Toghli Community Grammar School Badagry, Lagos State (Education District V)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202253567028,"53,814,605.32",WORKMOOD NIGERIA LIMITED,Private Organization,"100,000,001 to 200,000,000",25,2021,ONGOING,,"Monday, August 23, 2021","Thursday, June 30, 2022",BADAGRY
,RENOVATION OF 3NO (4 CLASSROOM BLOCK) PROPOSED EXTERNAL WORKS AT ODI-OLOWO PRIMARY SCHOOL (EDUCATION DISTRICT VI),SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202218128506,"63,825,628.20",VICODAL NIGERIA VENTURES LIMITED,Private Organization,"200,000,001 to 250,000,000",43,2021,ONGOING,,"Tuesday, August 24, 2021","Thursday, June 30, 2022",ODI-OLOWO
,"Renovation of 5 Classroom, Office Block, 10 Cubicle Toilets, and Walkway Linking all the School Blocks at Ogooluwa Nursery and Primary School, Gbagada (EDUCATION DISTRICT II)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202231785822,"31,805,957.92",KRANES PROJECTS,Private Organization,"200,000,001 to 250,000,000",43,2021,ONGOING,,"Tuesday, August 24, 2021","Thursday, June 30, 2022",GBAGADA
,"the renovation of Oke Ira Senior Grammar School, Ojodu (Education District VI)",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202203716558,"47,012,408.91",VICODAL NIGERIA VENTURES LIMITED,Private Organization,"200,000,001 to 250,000,000",43,2021,ONGOING,,"Friday, May 7, 2021","Thursday, June 30, 2022",OJODU
,"The (i) Renovation of Mafoluku Senior Grammar Secondary School Oshodi, (ii) Renovation of St Joseph Junior Secondary School Mushin, (iii) Renovation of Egbe Junior High School Oshodi Isolo",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202260416871,"108,468,218.10",VICODAL NIGERIA VENTURES LIMITED,Private Organization,"200,000,001 to 250,000,000",43,2021,"MUSHIN, ISOLO",,"Friday, March 19, 2021","Wednesday, June 29, 2022",Unspecified
,"Engagement of External Auditor for Year 2020, 2021 and 2022",SPECIAL COMMITTEE ON REHABILITATION OF PUBLIC SCHOOLS,ocds-5q8fsw-6202268357046,"4,013,000.00",LEKAN LASISI CO,Private Organization,"25,000,001 to 50,000,000",25,2022,ONGOING,,"Thursday, March 31, 2022","Wednesday, June 29, 2022",LAGOS STATE
,Construction of Soremekun/Abeokuta street/Labinjo/Adeyanju/Wilkey/Folami Streets Mushin,OFFICE OF DRAINAGE SERVICES WATER  RESOURCES,ocds-5q8fsw-6202253001242,"9,944,000.00",AMAZE MULTILINKS NIGERIA,Private Organization,"25,000,001 to 50,000,000",35,2022,ON-GOING,,"Tuesday, June 28, 2022","Wednesday, June 29, 2022","MUSHIN,LAGOS"
,"Construction  of Drain at Marda Barrack, Herbert Macaulay",OFFICE OF DRAINAGE SERVICES WATER  RESOURCES,ocds-5q8fsw-6202237128700,"599,539,381.98",WALLWAYS TECH. LIMITED,Private Organization,,0,2022,ONGOING,,"Tuesday, June 28, 2022","Wednesday, June 29, 2022","HERBERT MACAULAY, LAGOS"
,"Lining of CMD Shangisha Channel, Ikosi Ketu",OFFICE OF DRAINAGE SERVICES WATER  RESOURCES,ocds-5q8fsw-6202230384272,"573,040,838.69",FOLI TRANSPORT ENGINEERING AND SOLUTIONS LTD,Private Organization,,0,2022,ON-GOING,,"Tuesday, June 28, 2022","Wednesday, June 29, 2022","IKOSI KETU, LAGOS"
,Construction of Orisunbare/Okanle/MMA International Airport Collector Drain,OFFICE OF DRAINAGE SERVICES WATER  RESOURCES,ocds-5q8fsw-6202264506705,"125,398,131.64",PELIGROS UNIVERSAL CONCEPTS 2,Private Organization,,0,2022,ON-GOING,,"Tuesday, June 28, 2022","Wednesday, June 29, 2022","OKANLE, LAGOS"
,"Construction of Drain to Deflood Esate Primary School, Ogba Junior Secondary School, Ogba, Ikeja, Lagos",OFFICE OF DRAINAGE SERVICES WATER  RESOURCES,ocds-5q8fsw-6202282812813,"112,230,050.00",METCLUX NIGERIA LIMITED,Private Organization,,0,2022,ONGOING,,"Tuesday, June 28, 2022","Wednesday, June 29, 2022","OGBA, LAGOS"
,"Construction of Omogunwa Collector Drain, Ejigbo",OFFICE OF DRAINAGE SERVICES WATER  RESOURCES,ocds-5q8fsw-6202270786155,"213,952,453.37",DOMINANT ENGINEERING LTD,Private Organization,,0,2022,ONGOING,,"Tuesday, June 28, 2022","Wednesday, June 29, 2022","EJIGBO, LAGOS."
,"CONSTRUCTION OF GATE HOUSE AND SECURITY OFFICE AT LAGOS STATE UNIVERSITY OF EDUCATION(LASUED), OTO IJANIKIN MAIN CAMPUS AND NOFORIJA, EPE CAMPUS LAGOS.",OFFICE OF SPECIAL ADVISER ON EDUCATION,ocds-5q8fsw-6202216283785,"55,897,631.30",F B WALSEM GLOBAL VENTURES,Private Organization,,0,2022,ON-GOING,,"Tuesday, June 7, 2022","Wednesday, June 29, 2022","EPE, LAGOS"
,"CONSTRUCTION OF GATE HOUSE AND SECURITY OFFICE AT LAGOS STATE UNIVERSITY OF EDUCATION(LASUED), OTO IJANIKIN MAIN CAMPUS AND NOFORIJA, EPE CAMPUS LAGOS.",OFFICE OF SPECIAL ADVISER ON EDUCATION,ocds-5q8fsw-6202245110123,"55,897,631.30",F B WALSEM GLOBAL VENTURES,Private Organization,,0,2022,ONGOING,,"Tuesday, June 7, 2022","Wednesday, June 29, 2022","EPE, LAGOS"
,REHABILITATION / UPGRADING OF 50 NOS PUBLIC LIBRARIES IN LAGOS SECONDARY SCHOOLS (PHASE 1),OFFICE OF SPECIAL ADVISER ON EDUCATION,ocds-5q8fsw-6202220081576,"285,000,000.00",ACCURATE STREAM NIG LIMITED,Private Organization,,0,2022,ONGOING,,"Monday, June 6, 2022","Wednesday, June 29, 2022","IKEJA, LAGOS"
,"Procurement of Equipment, Kits, Fittings, Fixtures, Furniture and Instalaltion of Digital Stem Laboratory",MINISTRY OF EDUCATION,ocds-5q8fsw-6202273277868,"60,067,452.54",KATCHEY COMPANY LIMITED,Private Organization,"50,000,001 to 100,000,000",35,2022,Newly Awarded,,"Tuesday, June 28, 2022","Wednesday, June 29, 2022",Unspecified
,"Renovation of roof, painting of offices and replacement of the old iron window of the Ministry.",MINISTRY OF EDUCATION,ocds-5q8fsw-6202248775542,"29,035,323.37",DE FLOURISHING GREENPALMS NIGERIA LIMITED,Private Organization,,0,2022,Newly Awarded,,"Tuesday, June 21, 2022","Wednesday, June 29, 2022","IKEJA, LAGOS"
,"CONSTRUCTION OF DRAIN TO DEFLOOD FEMI AYANTUGA STREET, SURULERE",OFFICE OF DRAINAGE SERVICES WATER  RESOURCES,ocds-5q8fsw-6202217384454,"55,517,523.69",ABITUNE GLOBAL RESOURCES LIMITED,Private Organization,"100,000,001 to 200,000,000",35,2021,ONGOING,ONGOING,"Wednesday, December 22, 2021","Tuesday, June 28, 2022",SURULERE LAGOS
,"CONSTRUCTION OF DRAIN AT OYE ELEGUNDE/IGE, OJOKRO LCDA",OFFICE OF DRAINAGE SERVICES WATER  RESOURCES,ocds-5q8fsw-6202236613156,"99,374,407.31",CONTINUUM CONSTRUCTION NIGERIA LIMITED.,Private Organization,"100,000,001 to 200,000,000",38,2021,ONGOING,ONGOING,"Wednesday, December 22, 2021","Tuesday, June 28, 2022",OJOKORO
,"CONSTRUCTION OF RECTANGULAR DRAIN/ CULVERTS AT SIJUADE STREET, AGBADO, OKE ODO, LCDA.",OFFICE OF DRAINAGE SERVICES WATER  RESOURCES,ocds-5q8fsw-6202230750752,"180,499,997.59",JRB CONSTRUCTIONS CO. LTD.,Private Organization,"100,000,001 to 200,000,000",36,2021,ONGOING,ONGOING,"Friday, October 8, 2021","Tuesday, June 28, 2022","AGBADO, OKE ODO, LCDA."
,"CONSTRUCTION OF CHEVRON-SOLUYICHANNEL, GBAGADA",OFFICE OF DRAINAGE SERVICES WATER  RESOURCES,ocds-5q8fsw-6202260613836,"53,328,996.68",R.O.B. CONSTRUCTION ENGINEERING TECH NIG. LTD.,Private Organization,"250,000,001 and above",43,2021,ONGOING,ONGOING,"Wednesday, September 29, 2021","Tuesday, June 28, 2022",GBAGADA
,"CONSTRUCTION OF OUTFALL CHANNEL AT CH O 825 FOR SEKUMADE ROAD, IKORODU.",OFFICE OF DRAINAGE SERVICES WATER  RESOURCES,ocds-5q8fsw-6202286077380,"222,583,405.83",BAVURASHIELD NIGERIA LIMITED.,Private Organization,"250,000,001 and above",45,2021,ONGOING,ONGOING,"Monday, September 20, 2021","Tuesday, June 28, 2022",IKORODU
,CONSTRUCTION OF ADIO MUMUNI BADMUS COLLECTOR DRAIN.,OFFICE OF DRAINAGE SERVICES WATER  RESOURCES,ocds-5q8fsw-6202234208774,"276,620,754.40",GTOJ CONSTRUCTION PLANTS LTD.,Private Organization,"250,000,001 and above",43,2021,ONGOING,ONGOING,"Monday, September 20, 2021","Tuesday, June 28, 2022",LAGOS STATE
,"Construction of Ijegun Imore Collector Drain, Satellite Town",OFFICE OF DRAINAGE SERVICES WATER  RESOURCES,ocds-5q8fsw-6202227246104,"186,614,378.83",RCUBIX LIMITED,Private Organization,,0,2021,ONGOING,ONGOING,"Wednesday, May 5, 2021","Tuesday, June 28, 2022","Satellite Town, LAGOS"
,Automation of the Lagos State Unified Scheme of Work and Approved Booklists.,MINISTRY OF EDUCATION,ocds-5q8fsw-6202236485217,"52,830,000.00",GIBRALTAR TECHNOLOGIES,Private Organization,"50,000,001 to 100,000,000",32,2021,ONGOING,ONGOING,"Tuesday, November 16, 2021","Tuesday, June 28, 2022",LAGOS STATE
,"Renovation of Multi-Lingual Centre at Mainland Senior High School, Jibowu, Yaba",MINISTRY OF EDUCATION,ocds-5q8fsw-6202222375056,"79,766,802.78",ROAD MAKERS BUILDERS INTEGRATED LTD.,Private Organization,"50,000,001 to 100,000,000",35,2021,ONGOING,ONGOING,"Tuesday, September 14, 2021","Tuesday, June 28, 2022",YABA
,Procurement of Lego (Robotics) Kits for Senior Secondary Schools in Lagos State.,MINISTRY OF EDUCATION,ocds-5q8fsw-6202283173485,"10,000,000.00",WEBLINK TECHNOLOGIES,Private Organization,"25,000,001 to 50,000,000",26,2021,ONGOING,,"Thursday, September 2, 2021","Tuesday, June 28, 2022",LAGOS STATE
,"Consruction of Oba Tajudeen Elemoro Road, (Part of ) By Area J Police Command Elemoro, Ibeju-Lekki Local Government Area.",MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-6202201477853,"307,084,941.45",FECHRAD NIGERIA LIMITED,Private Organization,"250,000,001 and above",54,2021,ONGOING,ONGOING,"Thursday, August 12, 2021","Thursday, June 23, 2022",Ibeju-Lekki
,Renovation/Maintenance of Staff Quarters YR2021 located in Ikeja AND Ikorodu,MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-6202274142356,"10,421,941.53",AMO EXCEL ENTERPRISES,Private Organization,,0,2021,ONGOING,ONGOING,"Thursday, September 30, 2021","Thursday, June 23, 2022",Ikeja AND Ikorodu
,Renovation/Maintenance of Staff Quarters YR2021 located in Ikeja GRA and Gbagada,MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-6202250343213,"19,403,332.04",HEAVEN S GATE EMGINEERING CONSTRUCTION LTD,Private Organization,"50,000,001 to 100,000,000",35,2021,ONGOING,NEW AWARD,"Wednesday, August 18, 2021","Thursday, June 23, 2022",Ikeja GRA and Gbagada
,Renovation/Maintenance of Staff Quarters YR2021 located in Ikeja GRA and Gbagada,MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-6202280031422,"19,927,819.87",DAYCLAR GLOBAL VENTURES LIMITED,Private Organization,"25,000,001 to 50,000,000",32,2021,ONGOING,,"Wednesday, August 18, 2021","Thursday, June 23, 2022",Ikeja GRA and Gbagada
,Renovation/Maintenance of Staff Quarters YR2021 located in Ikorodu and Surulere,MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-6202230801866,"14,585,503.62",VIDAF DEVELOPMENT COMPANY LIMITED,Private Organization,"25,000,001 to 50,000,000",34,2021,ONGOING,ONGOING,"Wednesday, August 18, 2021","Thursday, June 23, 2022",Ikorodu and Surulere
,"Renovation/Maintenance of Staff Quarters YR2021 located in Ikeja, Ogba and Ijaiye",MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-6202250067655,"13,700,988.02",MODEHOUSE PROJEKTS LIMITED,Private Organization,"25,000,001 to 50,000,000",35,2021,ONGOING,ONGOING,"Wednesday, August 18, 2021","Thursday, June 23, 2022","Ikeja, Ogba and Ijaiye"
,Renovation/Maintenance of Staff Quarters YR2021 located in Alausa,MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-6202285302675,"17,472,437.52",MODEHOUSE PROJEKTS LIMITED,Private Organization,"25,000,001 to 50,000,000",35,2021,ONGOING,NEW AWARD,"Wednesday, August 18, 2021","Thursday, June 23, 2022",ALAUSA
,Renovation/Maintenance of Staff Quarters YR2021 located in Alausa and Ikeja GRA,MINISTRY OF WORKS INFRASTRUCTURE,ocds-5q8fsw-6202277255063,"26,448,959.51",EMMATOM INVESTMENT LIMITED,Private Organization,"50,000,001 to 100,000,000",45,2021,ongoing,,"Wednesday, August 18, 2021","Thursday, June 23, 2022",IKEJA
,Consultancy Services for Operational Preparedness Plan for Lagos Rail Mass Transit (LRMT) Blue Line Rail Project Phase 1 (Mile 2 to Marina),LAGOS STATE METROPOLITAN AREA TRANSPORT AUTHORITY (LAMATA),ocds-5q8fsw-6202267147502,"24,525,000.00",TRIPLE O GALLERY,Private Organization,"25,000,001 to 50,000,000",30,2022,ONGOING,,"Thursday, March 24, 2022","Monday, June 20, 2022","MILE 2, LAGOS"
,STAKEHOLDERS FORUM FOR IKEJA CENTRAL BUSINESS DISTRICTS,CENTRAL BUSINESS DISTRICT,ocds-5q8fsw-6202254814186,"10,000,000.00",D CREATIVE DEVELOPMENT VENTURES,Private Organization,,0,2021,COMPLETED,COMPLETED,"Wednesday, May 26, 2021","Monday, June 20, 2022",IKEJA
,SUPPLY OF EXECUTIVE CONFERENCE BAGS AND STATIONERIES FOR RETREAT,CENTRAL BUSINESS DISTRICT,ocds-5q8fsw-6202261143046,"757,064.00",NISREL CONSULTING,Private Organization,,0,2021,COMPLETED,COMPLETED,"Wednesday, May 26, 2021","Monday, June 20, 2022",LAGOS
,PROCUREMENT OF OPERATIONAL VEHICLES FOR CBD OPERATIONS,CENTRAL BUSINESS DISTRICT,ocds-5q8fsw-6202262732180,"292,427,341.00",TOPDEL ENGINEERING LTD,Private Organization,,0,2021,COMPLETED,COMPLETED,"Wednesday, July 28, 2021","Monday, June 20, 2022",IKEJA
,"Consultancy Services for the Preparation of ESIA (with ESMP) and RAP for Quality Bus Corridor Package 4 (Ile Iwe Ile Epo, CMD Road Ketu and Command Abule Egba)",LAGOS STATE METROPOLITAN AREA TRANSPORT AUTHORITY (LAMATA),ocds-5q8fsw-6202252140420,"101,797,470.00",SUSTAINABILITI LIMITED,Private Organization,"50,000,001 to 100,000,000",50,2022,ONGOING,,"Thursday, March 3, 2022","Monday, June 20, 2022","KETU, LAGOS"
,Consultancy Services for Provision of Security Services along Mile 12-Ikorodu BRT Corridor - Lot 3 (South Bound),LAGOS STATE METROPOLITAN AREA TRANSPORT AUTHORITY (LAMATA),ocds-5q8fsw-6202278822625,"52,167,780.00",PERFECT SECURITY SERVICES LIMITED,Private Organization,"10,000,001 to 25,000,000",30,2022,ONGOING,,"Friday, February 4, 2022","Monday, June 20, 2022","MILE 12, LAGOS"
,Renewal of Consultancy Services for Provision of Security Services along Mile 12-Ikorodu BRT Corridor - Lot 2 (North Bound),LAGOS STATE METROPOLITAN AREA TRANSPORT AUTHORITY (LAMATA),ocds-5q8fsw-6202205418717,"66,079,188.00",LAI SECURITY AND INVESTIGATION SERVICES LIMITED,Private Organization,"10,000,001 to 25,000,000",30,2022,ONGOING,,"Friday, February 4, 2022","Monday, June 20, 2022","MILE 12, LAGOS"
